url_path,views_total,views_unique
/chjch/LAA6656,122,37
/chjch/LAA6656/tree/master/tutorials,67,25
/chjch/LAA6656/blob/master/tutorials/1-software_and_data.md,65,26
/chjch/LAA6656/blob/master/tutorials/3-raster_gis.md,43,14
/chjch/LAA6656/blob/master/tutorials/4-suitability.md,38,18
/chjch/LAA6656/blob/master/visit_apopka.md,29,19
/chjch/LAA6656/tree/master/datasets,25,16
/chjch/LAA6656/blob/master/datasets/lulc/lulc.md,17,8
/chjch/LAA6656/blob/master/tutorials/2-vector_gis.md,10,8
/chjch/LAA6656/blob/master/datasets/lulc/lulc_ca2015_print.pdf,10,6
