time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-07 00:00:00+00:00,3.0,3.0,6.0,2.0
2022-01-08 00:00:00+00:00,1.0,1.0,2.0,1.0
2022-01-09 00:00:00+00:00,3.0,3.0,,
2022-01-10 00:00:00+00:00,3.0,2.0,23.0,2.0
2022-01-11 00:00:00+00:00,8.0,3.0,332.0,15.0
2022-01-12 00:00:00+00:00,3.0,2.0,108.0,11.0
2022-01-13 00:00:00+00:00,4.0,3.0,185.0,16.0
2022-01-14 00:00:00+00:00,1.0,1.0,2.0,1.0
2022-01-15 00:00:00+00:00,1.0,1.0,41.0,3.0
2022-01-16 00:00:00+00:00,1.0,1.0,34.0,2.0
2022-01-17 00:00:00+00:00,2.0,2.0,6.0,2.0
2022-01-18 00:00:00+00:00,5.0,4.0,76.0,11.0
2022-01-19 00:00:00+00:00,1.0,1.0,11.0,3.0
2022-01-20 00:00:00+00:00,,,38.0,9.0
